age,annual_income,purchase_frequency,average_basket_value,discount_usage_rate,online_purchase_share,recency_days,customer_segment
56,413291.42,65,1411.2,0.5,0.07,104,2
69,1084960.66,60,4193.85,0.73,0.11,109,2
46,2428255.52,7,172.0,0.96,0.84,19,0
32,2183941.75,67,1957.56,0.22,0.24,96,1
60,2070119.37,23,1752.99,0.89,0.19,27,0
25,756071.64,27,194.71,0.93,0.5,1,0
38,551585.83,33,709.41,0.92,0.77,107,2
56,1721311.57,34,2126.85,0.64,0.06,116,2
75,2334033.57,43,2515.04,0.63,0.58,33,3
36,1458392.8,29,2081.02,0.4,0.12,40,0
40,1493289.82,12,2701.59,0.75,0.04,32,0
28,807950.87,62,3016.15,0.53,0.05,69,1
28,1958308.39,20,148.63,0.68,0.83,17,0
41,589552.81,76,2374.07,0.43,0.12,8,1
70,910646.21,5,4821.15,0.73,0.05,57,2
53,1149775.63,9,2643.26,0.82,0.44,42,2
57,1342884.39,7,3419.96,0.15,0.84,98,3
41,719662.87,69,1628.13,0.83,0.26,9,0
20,419866.54,8,3892.56,0.54,0.42,120,1
39,1584957.1,100,3887.32,0.84,0.04,87,1
70,828281.8,68,2654.35,0.43,0.45,35,3
19,1515909.82,93,4882.47,0.38,0.58,114,1
41,512752.38,14,715.2,0.92,0.57,71,0
61,1280679.24,25,183.04,0.25,0.33,79,3
47,1401585.17,50,3873.78,0.84,0.32,53,2
55,271785.31,95,4055.06,0.48,0.11,54,1
19,941020.05,31,689.02,0.51,0.37,84,0
38,465874.49,70,1401.36,0.31,0.1,114,1
50,298931.18,45,186.01,0.57,0.77,25,0
29,2476406.55,17,1537.21,0.33,0.97,67,0
75,907531.54,13,3888.4,0.04,0.97,62,3
39,2053204.95,40,2638.01,0.27,0.87,55,3
61,748405.54,90,1805.67,0.01,0.6,46,3
42,1751531.4,94,1921.52,0.98,0.7,24,0
66,1936535.47,62,106.63,0.97,0.29,98,2
44,1549751.04,58,1569.02,0.4,0.63,46,0
59,1258204.04,16,3267.65,0.73,0.46,22,2
45,1117826.15,85,4873.55,0.35,0.48,11,1
33,969840.43,82,4250.6,0.67,0.76,48,1
32,2334393.49,18,215.62,0.81,0.28,8,0
64,2101955.61,38,4502.95,0.95,0.32,39,2
68,2417813.24,57,3937.67,0.4,0.92,107,3
61,442098.48,24,3923.84,0.78,0.06,35,2
72,1867538.57,79,2344.18,0.27,0.49,49,3
69,2355100.07,20,2050.23,0.99,0.91,46,2
74,575897.71,99,1584.29,0.03,0.61,38,3
20,306266.23,74,421.9,0.6,0.55,8,0
54,1891633.53,60,1218.35,0.66,0.25,54,0
68,1500011.82,87,1308.36,0.69,0.34,37,3
24,2128297.63,62,2471.98,0.12,0.85,91,1
38,478465.09,8,3762.48,0.94,0.56,92,2
26,2018878.18,8,2421.67,0.18,0.51,40,0
56,623824.2,24,383.44,0.62,0.1,34,0
35,534591.47,14,4793.17,0.22,0.02,96,1
21,536024.63,28,4719.35,0.31,0.96,79,1
42,2064250.59,30,3947.43,0.55,0.38,108,2
31,1713213.47,41,4957.51,0.42,0.6,17,1
67,1379203.75,89,2767.96,0.16,0.08,33,3
75,993251.64,58,4817.56,0.17,0.68,47,3
26,2211421.27,25,470.46,0.42,0.93,110,0
43,1072246.0,78,1891.84,0.76,0.58,52,0
70,2069008.68,42,1204.37,0.9,0.13,118,2
19,1181967.04,50,1059.58,0.08,0.58,80,1
37,1035819.41,8,789.93,0.39,0.77,93,0
45,1237297.5,64,3149.83,0.1,0.41,9,3
64,858238.0,61,3928.48,0.02,0.88,33,3
24,1906882.04,49,2933.66,0.66,0.65,60,0
61,1331392.92,24,820.12,0.6,0.9,113,2
25,695699.83,21,4074.51,0.16,0.62,93,1
64,2264000.25,75,3216.18,0.23,0.13,77,3
52,1052144.37,8,2002.01,0.02,0.31,21,3
31,1427349.22,97,3403.24,0.83,0.2,58,1
34,2280209.46,18,1373.53,0.97,0.91,85,0
53,1616959.29,7,1791.44,0.14,0.76,69,3
67,424710.4,92,4595.68,0.23,0.68,10,3
57,2358605.49,84,1523.47,0.87,0.3,6,0
21,1625113.92,62,2402.94,0.93,0.18,120,1
19,937028.19,59,4461.69,0.42,0.76,115,1
23,477289.37,8,3567.83,0.05,0.47,13,1
71,2015959.19,28,404.8,0.04,0.23,65,3
59,1607170.98,38,821.78,0.57,0.62,20,0
21,1403633.57,34,138.42,0.39,0.04,57,0
71,2250647.57,86,3191.52,0.03,0.33,111,3
46,2003203.45,23,2293.6,0.58,0.47,46,0
35,506435.97,35,757.95,0.01,0.15,8,3
43,882546.86,64,4793.88,0.79,0.98,10,2
61,733949.48,64,2695.33,0.31,0.21,73,3
51,1898273.79,23,1285.28,0.04,0.13,113,3
27,228801.22,53,2552.96,0.59,0.2,105,1
53,1489240.76,67,3430.14,0.4,0.77,67,3
31,1941777.91,87,473.57,0.97,0.43,11,0
